idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
2024,51780,큐로홀딩스 *,638/ +2,"120,600,795/ 0",0,146,154,252,258,341, , , ,-157,-69,-6,8,2, , , ,-171,-397,-123,-91,-116, , , ,913,549,516,492,602, , , ,199,253,289,240,233, , , ,714,295,227,252,370, , , ,535,250,174,219,347, , , ,301,301,308,397,603, , , ,-18.65,-54.28,-23.08,-18.09,-21.13, , , ,-25.24,-67.56,-37.52,-34.12,-34.14, , , ,-208,-440,-132,-94,-91, , , ,N/A,N/A,N/A,N/A,N/A, , , ,2.63,2.13,1.62,2.78,1.9, , , ,"60,193","60,193","61,593","79,353","120,601", , , 
2025,52190,이에스에이 *,"8,850/ +0","3,048,786/ 0",27,13,116,60,27,9, , , ,0,-3,-84,-91,-46, , , ,-79,-233,-158,-253,-87, , , ,365,311,792,374,305, , , ,203,178,435,26,38, , , ,162,133,357,348,267, , , ,154,133,358,351,272, , , ,41,67,139,229,229, , , ,-27.72,-68.77,-28.67,-43.48,-25.54, , , ,-72.26,-159.19,-64.65,-69.15,-27.34, , , ,"-36,245","-58,056","-22,422","-16,137","-5,579", , , ,N/A,N/A,N/A,N/A,N/A, , , ,4.2,5.49,1.25,1.62,0.5, , , ,276,450,924,"1,527","1,527", , , 
2026,51490,나라엠앤디 *,"10,450/ -500","14,200,000/ 0","795,246","1,310","1,409","1,418","1,560","1,778", , , ,23,67,47,21,17, , , ,21,19,37,11,15, , , ,"1,704","1,853","1,915","2,172","2,179", , , ,926,"1,069","1,116","1,365","1,367", , , ,778,784,799,807,812, , , ,762,772,787,795,798, , , ,72,72,72,72,72, , , ,1.28,1.06,1.99,0.55,0.69, , , ,3.34,2.8,4.74,1.37,1.81, , , ,177,151,260,76,102, , , ,22.62,29.84,20,57.96,126.52, , , ,0.74,0.82,0.92,0.78,2.25, , , ,"14,200","14,200","14,200","14,200","14,200", , , 
2027,38870,에코바이오 *,"9,160/ -210","11,610,994/ 0",0,190,317,220,173,182, , , ,8,-75,20,10,15, , , ,-98,-219,-29,71,56, , , ,"1,168","1,104","1,240",746,761, , , ,466,623,697,129,80, , , ,702,482,543,617,681, , , ,713,493,556,622,668, , , ,54,54,58,58,58, , , ,-7.91,-19.25,-2.44,7.16,7.48, , , ,-14.13,-36.15,-5.33,12.12,8.42, , , ,-904,"-2,034",-243,614,467, , , ,N/A,N/A,N/A,7.29,20.72, , , ,1.92,2.03,1.39,0.82,1.68, , , ,"10,717","10,717","11,527","11,611","11,611", , , 
2028,45660,에이텍 *,"31,450/ -350","8,260,000/ 0",0,933,"1,063",973,993,982, , , ,33,42,37,44,63, , , ,74,129,61,64,87, , , ,730,868,865,912,969, , , ,195,209,166,157,137, , , ,534,659,699,755,832, , , ,534,659,699,755,832, , , ,41,41,41,41,41, , , ,10.89,16.16,7.05,7.23,9.27, , , ,14.76,21.64,8.99,8.83,10.99, , , ,893,"1,563",739,777,"1,056", , , ,12.88,7.01,10.01,11.83,29.61, , , ,1.77,1.37,0.86,0.99,3.06, , , ,"8,260","8,260","8,260","8,260","8,260", , , 
2029,45390,대아티아이 *,"6,570/ -160","71,151,522/ 0","96,000",990,858,"1,027","1,142","1,323", , , ,140,71,78,90,88, , , ,108,67,63,23,73, , , ,"1,146","1,271","1,246","1,483","1,680", , , ,317,371,311,516,633, , , ,830,899,935,966,"1,047", , , ,809,883,918,944,"1,022", , , ,71,71,71,71,71, , , ,10.01,5.53,5,1.71,4.61, , , ,14.02,8.34,7.16,2.32,7.19, , , ,149,99,91,30,99, , , ,13.02,17.89,90.56,172.41,58.18, , , ,1.71,1.43,6.36,3.95,4.02, , , ,"71,152","71,152","71,152","71,152","71,152", , , 
2030,50110,캠시스 *,"2,090/ -25","73,824,118/ 0","8,219","3,562","4,244","5,445","6,848","8,669", , , ,132,137,160,160,114, , , ,-281,-344,113,42,-102, , , ,"2,555","2,562","3,233","4,326","3,291", , , ,"1,664","1,905","2,209","3,004","2,076", , , ,891,657,"1,024","1,322","1,215", , , ,877,645,770,"1,007",891, , , ,262,289,289,321,344, , , ,-10.94,-13.46,3.91,1.11,-2.69, , , ,-29.88,-44.98,14.75,2.1,-13.99, , , ,-532,-612,181,29,-196, , , ,N/A,N/A,9.55,105.48,N/A, , , ,1.77,2.32,1.27,1.95,2.12, , , ,"52,436","57,776","57,815","64,299","68,761", , , 
2031,52260,현대바이오랜드 *,"21,050/ -150","15,000,000/ 0","2,840",978,"1,026","1,006","1,063",889, , , ,161,160,171,145,-89, , , ,124,120,150,108,-135, , , ,"1,677","1,764","1,932","2,091","1,877", , , ,371,386,443,533,504, , , ,"1,305","1,378","1,489","1,557","1,372", , , ,"1,305","1,378","1,489","1,557","1,372", , , ,75,75,75,75,75, , , ,7.74,6.96,8.14,5.39,-6.83, , , ,9.85,8.93,10.5,7.12,-9.25, , , ,828,799,"1,003",723,-903, , , ,21.67,25.17,15.8,29.1,N/A, , , ,2.06,2.19,1.6,2.03,2.67, , , ,"15,000","15,000","15,000","15,000","15,000", , , 
2032,36540,SFA반도체 *,"7,310/ -210","164,460,303/ 0","6,535","4,292","4,496","4,579","5,889","5,731", , , ,148,255,337,391,343, , , ,76,99,133,208,176, , , ,"6,762","6,329","6,274","6,612","5,865", , , ,"4,046","3,633","3,396","3,454","2,317", , , ,"2,716","2,696","2,877","3,158","3,548", , , ,"2,502","2,502","2,668","2,940","3,327", , , ,699,708,708,714,825, , , ,1.08,1.51,2.11,3.23,2.82, , , ,2.73,3.78,4.86,7.34,5.22, , , ,48,67,89,145,101, , , ,53.05,35.09,15.27,29.78,57.01, , , ,1.39,1.31,0.71,2.06,2.83, , , ,"139,366","141,077","141,122","142,292","164,460", , , 
2033,38500,삼표시멘트 *,"5,490/ -110","107,357,173/ 0","30,000","6,159","6,713","5,760","5,955","5,432","5,662","5,996","6,202",685,744,7,481,617,711,980,"1,112",503,363,-43,186,137,401,619,734,"12,634","12,653","13,068","13,470","13,493","13,780","13,970","13,901","6,666","6,330","6,858","7,118","7,064","7,049","6,719","6,042","5,967","6,323","6,210","6,352","6,429","6,731","7,251","7,860","5,967","6,323","6,209","6,351","6,428","6,730","7,252","7,861",537,537,537,537,537,537,537,537,4.24,2.87,-0.34,1.4,1.02,2.94,4.46,5.26,8.78,5.9,-0.69,2.96,2.15,6.1,8.88,9.73,468,338,-40,173,128,374,578,685,6.66,9.13,N/A,21.9,31.21,14.7,9.5,8.02,0.56,0.52,0.74,0.64,0.67,0.88,0.81,0.75,"107,357","107,357","107,357","107,357","107,357", , , 
2034,48550,SM C&C *,"5,480/ +210","94,950,120/ 0","30,000",954,886,"1,970","1,667","1,306", , , ,35,-130,-21,48,-44, , , ,-5,-140,-18,38,-142, , , ,812,"3,008","3,145","3,507","3,014", , , ,264,"1,858","2,020","2,342","1,981", , , ,548,"1,149","1,125","1,165","1,033", , , ,549,"1,149","1,125","1,164","1,033", , , ,348,470,470,470,473, , , ,-0.56,-7.34,-0.57,1.16,-4.36, , , ,-0.87,-16.54,-1.58,3.24,-12.93, , , ,-7,-189,-19,39,-150, , , ,N/A,N/A,N/A,38.8,N/A, , , ,2.42,2.17,1.66,1.22,1.46, , , ,"69,533","94,041","94,061","94,061","94,610", , , 
2035,49830,승일 *,"15,300/ -350","6,132,112/ 0",0,"1,385","1,358","1,510","1,366","1,328", , , ,57,37,22,-14,3, , , ,32,27,79,-6,8, , , ,"1,714","1,690","1,787","1,710","1,739", , , ,390,344,366,305,327, , , ,"1,324","1,346","1,421","1,405","1,412", , , ,"1,324","1,346","1,421","1,405","1,412", , , ,31,31,31,31,31, , , ,1.88,1.61,4.56,-0.34,0.47, , , ,2.43,2.05,5.73,-0.41,0.57, , , ,518,446,"1,294",-96,131, , , ,30.1,22.04,6.96,N/A,62.18, , , ,0.71,0.44,0.38,0.37,0.35, , , ,"6,132","6,132","6,132","6,132","6,132", , , 
2036,44060,조광ILI *,"8,910/ -80","13,850,909/ 0",600,245,204,246,245,345,406, , ,34,39,57,42,69,76, , ,35,33,48,36,-37,48, , ,618,591,638,934,"1,131","1,230", , ,133,79,95,367,383,431, , ,486,513,543,567,748,799, , ,486,513,543,567,748,799, , ,49,49,49,49,64,69, , ,5.54,5.5,7.77,4.52,-3.59,4.07, , ,7.75,6.67,9.05,6.4,-5.64,6.21, , ,399,337,483,359,-325,350, , ,16.67,14.51,10.21,21.23,N/A,25.49, , ,1.35,0.94,0.9,1.33,1.59,1.52, , ,"9,886","9,886","9,886","9,886","12,730", , , 
