idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
84,207940,삼성바이오로직스,"947,000/ +38,000","66,165,000/ 0","109,146","2,946","4,646","5,358","7,016","11,648","14,670","16,705","19,258",-304,660,557,917,"2,928","4,673","5,518","6,344","-1,768",-970,"2,241","2,029","2,410","3,740","4,538","5,215","75,330","71,831","59,804","59,116","64,242","64,748","70,854","75,297","34,506","32,066","18,249","15,572","18,254","18,104","19,921","19,804","40,824","39,765","41,555","43,545","45,988","46,644","50,933","55,493","40,824","39,765","41,555","43,545","45,988","46,035","50,457","54,579","1,654","1,654","1,654","1,654","1,654","1,653","1,653","1,653",-2.62,-1.32,3.41,3.41,3.91,5.8,6.69,7.14,-5.16,-2.41,5.51,4.77,5.38,8.13,9.41,10.06,"-3,115","-1,466","3,387","3,067","3,642","5,653","6,859","7,982",N/A,N/A,114.11,141.2,226.8,167.54,138.06,118.64,2.45,6.17,6.15,6.58,11.88,13.61,12.42,11.48,"66,165","66,165","66,165","66,165","66,165", , , 
85,234080,JW생명과학,"18,550/ +50","15,834,554/ 0","203,960","1,323","1,436","1,552","1,702","1,835", , , ,216,238,235,297,395, , , ,152,168,158,219,169, , , ,"1,922","1,985","2,009","2,014","2,180", , , ,"1,019",964,916,788,860, , , ,903,"1,021","1,093","1,226","1,321", , , ,903,"1,021","1,093","1,226","1,321", , , ,396,396,396,396,396, , , ,8.15,8.59,7.92,10.91,8.04, , , ,17.51,17.45,14.97,18.92,13.25, , , ,958,"1,060",999,"1,385","1,065", , , ,14.28,19.86,21.97,14.29,19.48, , , ,2.4,3.26,3.18,2.56,2.49, , , ,"15,835","15,835","15,835","15,835","15,835", , , 
86,241590,화승엔터프라이즈,"15,900/ -100","60,570,805/ 0",0,"6,402","7,682","8,792","12,016","11,158","13,155","15,721","18,326",438,585,403,854,625,822,"1,212","1,487",349,416,171,652,415,592,942,"1,168","4,367","6,268","7,605","9,789","11,550","12,438","13,261","14,709","2,439","3,653","4,773","6,114","6,175","6,481","6,427","6,803","1,928","2,615","2,831","3,675","5,375","5,958","6,834","7,906","1,923","2,580","2,798","3,486","5,178","5,724","6,593","7,674",135,151,303,303,303,301,301,301,10.02,7.83,2.46,7.5,3.89,4.94,7.33,8.35,27.19,18.41,6.39,19.87,9.26,10.63,14.9,16.46,775,751,284,"1,031",662,957,"1,515","1,939",9.86,15.99,37.53,16.43,21.44,16.62,10.49,8.2,2.14,2.82,2.3,2.94,1.66,1.68,1.46,1.25,"53,859","60,537","60,537","60,537","60,537", , , 
87,229640,LS전선아시아,"8,660/ -120","30,624,879/ 0",0,"3,451","4,037","4,413","5,203","5,796","8,061","9,122","9,388",195,198,180,260,161,317,376,404,147,143,107,171,83,208,251,265,"2,758","2,851","3,496","3,597","4,166","4,849","5,477","5,848","1,458","1,516","2,060","1,984","2,677","3,191","3,632","3,807","1,300","1,335","1,436","1,612","1,489","1,658","1,845","2,041","1,228","1,171","1,249","1,406","1,333","1,485","1,650","1,827",153,153,153,153,153,151,151,151,5.66,5.11,3.38,4.82,2.13,4.62,4.86,4.68,11.48,10.69,8.18,12.07,5.35,13.51,14.63,14.19,436,419,323,523,239,622,749,805,12.99,15.02,17.42,15.33,32.53,13.93,11.56,10.75,1.41,1.64,1.38,1.75,1.75,1.75,1.58,1.43,"30,625","30,625","30,625","30,625","30,625", , , 
88,204210,모두투어리츠,"4,180/ -15","7,826,815/ 0","635,291",47,42,48,76,66, , , ,23,18,23,47,36, , , ,9,6,9,27,12, , , ,853,801,804,"1,088","1,080", , , ,433,384,385,650,644, , , ,420,418,419,438,436, , , ,420,418,419,438,436, , , ,391,391,391,391,391, , , ,1.17,0.72,1.13,2.88,1.1, , , ,2.46,1.43,2.16,6.36,2.72, , , ,138,77,116,348,152, , , ,34.24,50.79,26.98,8.98,19.31, , , ,0.88,0.73,0.58,0.56,0.53, , , ,"7,827","7,827","7,827","7,827","7,827", , , 
89,249420,일동제약,"15,350/ -150","23,803,285/ 0","6,780","2,013","4,607","5,039","5,175","5,618", , , ,148,254,283,-14,66, , , ,126,198,127,-134,-130, , , ,"5,504","5,639","5,647","6,127","6,053", , , ,"2,819","2,796","2,878","3,598","3,507", , , ,"2,684","2,843","2,768","2,529","2,545", , , ,"2,684","2,843","2,768","2,529","2,545", , , ,178,196,216,227,238, , , , ,3.56,2.25,-2.28,-2.14, , , , ,7.18,4.53,-5.08,-5.13, , , ,528,834,534,-565,-547, , , ,29.83,25.57,36.51,N/A,N/A, , , ,1.4,1.78,1.68,1.5,1.76, , , ,"23,803","23,803","23,803","23,803","23,803", , , 
90,248170,샘표식품,"56,200/ -700","4,568,286/ 0",10,"1,351","2,632","2,756","2,808","3,189", , , ,60,203,215,310,428, , , ,58,115,180,268,361, , , ,"1,915","1,960","2,055","2,258","2,686", , , ,878,809,738,688,765, , , ,"1,037","1,151","1,317","1,570","1,922", , , ,"1,037","1,151","1,317","1,570","1,922", , , ,23,23,23,23,23, , , , ,5.94,8.96,12.43,14.58, , , , ,10.51,14.58,18.57,20.65, , , ,"1,259","2,517","3,938","5,870","7,892", , , ,24.3,13.86,7.07,5.79,6.67, , , ,1.35,1.38,0.97,0.99,1.25, , , ,"4,568","4,568","4,568","4,568","4,568", , , 
91,16740,두올,"4,725/ -55","28,866,680/ 4,200,000","575,073","2,959","3,450","4,831","4,659","4,658", , , ,184,220,307,276,203, , , ,127,142,149,131,57, , , ,"2,206","3,320","3,466","3,643","4,057", , , ,989,"1,777","1,827","1,873","2,223", , , ,"1,217","1,542","1,640","1,771","1,834", , , ,"1,212","1,502","1,596","1,727","1,792", , , ,456,556,827,827,827, , , ,5.65,5.14,4.38,3.68,1.49, , , ,11.77,9.89,9.1,7.28,3, , , ,500,457,426,366,159, , , ,6.23,8.9,6.71,8.59,21.18, , , ,0.69,0.89,0.59,0.6,0.62, , , ,"26,354","27,067","27,067","27,067","27,067", , , 
92,26960,동서,"31,200/ -750","99,700,000/ 0","1,027,477","5,138","5,591","5,635","5,054","4,930", , , ,456,477,432,416,451, , , ,"1,224","1,261","1,204","1,405","1,206", , , ,"13,270","13,877","14,322","14,783","15,258", , , ,"1,296","1,430","1,420","1,272","1,285", , , ,"11,974","12,447","12,902","13,510","13,973", , , ,"11,757","12,202","12,641","13,370","13,819", , , ,499,499,499,499,499, , , ,9.47,9.29,8.54,9.66,8.03, , , ,10.37,10.21,9.39,10.53,8.61, , , ,"1,194","1,227","1,169","1,373","1,174", , , ,23.07,23.71,15.31,12.67,28.92, , , ,2.33,2.36,1.39,1.28,2.42, , , ,"99,700","99,700","99,700","99,700","99,700", , , 
93,123890,한국자산신탁,"4,430/ -70","123,977,752/ 0","1,610,697","1,365","2,225","2,266","2,233","2,401","2,209","2,356","2,463",962,"1,668","1,379","1,141","1,787","1,544","1,695","1,787",732,"1,267","1,034",888,"1,300","1,163","1,286","1,353","5,676","7,796","10,081","12,375","12,076","13,647","14,272","14,885","1,506","2,631","4,150","5,764","4,388","4,948","4,601","4,074","4,170","5,165","5,931","6,611","7,689","8,699","9,681","10,771","4,137","5,120","5,931","6,611","7,689","8,699","9,680","10,770",425,468,514,564,620,590,590,590,15.94,18.81,11.57,7.9,10.63,9.04,9.21,9.28,22.59,27.12,18.52,14.15,18.18,14.16,13.93,13.2,631,"1,013",826,716,"1,049",936,"1,033","1,089",9.93,6.05,4.85,4.71,3.76,4.73,4.29,4.07,1.88,1.45,0.82,0.62,0.63,0.62,0.56,0.5,"123,978","123,978","123,978","123,978","123,978", , , 
94,34830,한국토지신탁,"2,230/ +10","252,489,230/ 0","123,986","1,780","2,500","2,693","2,557","2,374","2,018","2,209","2,250","1,140","1,711","1,846","1,193",938,914,"1,109","1,169","1,214","1,678","1,670","1,083",851,"1,033",993,"1,157","9,543","12,107","13,759","14,472","15,445","15,936","16,318","16,547","3,641","4,915","5,513","5,657","6,215","5,434","4,883","4,323","5,903","7,192","8,246","8,814","9,229","10,497","11,431","12,225","5,872","7,155","8,210","8,777","9,193","10,458","11,392","12,186","2,525","2,525","2,525","2,525","2,525","2,523","2,523","2,523",15.11,15.5,12.91,7.67,5.69,6.58,6.16,7.04,22.61,25.66,21.75,12.72,9.44,10.51,9.07,9.81,481,662,662,428,336,409,392,458,5.94,4.73,4.08,4.91,6.01,5.45,5.68,4.87,1.2,1.09,0.81,0.59,0.53,0.52,0.47,0.45,"252,489","252,489","252,489","252,489","252,489", , , 
95,195870,해성디에스,"43,600/ -1,450","17,000,000/ 0","775,988","2,762","3,251","3,633","3,814","4,587","6,268","7,169","8,386",258,339,268,270,435,699,814,890,188,239,207,182,300,515,604,680,"2,510","2,904","3,062","3,266","3,832","4,512","5,050","5,784",896,"1,093","1,099","1,180","1,514","1,757","1,774","1,933","1,614","1,811","1,964","2,085","2,318","2,755","3,276","3,851","1,611","1,809","1,963","2,085","2,318","2,755","3,276","3,851",850,850,850,850,850,850,850,850,7.85,8.83,6.95,5.76,8.45,12.35,12.63,12.55,13.47,14.02,11.05,9.06,13.62,20.28,20.02,19.08,"1,175","1,410","1,226","1,078","1,764","3,026","3,551","4,000",11.02,11.7,10.56,14.65,13.83,14.41,12.28,10.9,1.37,1.55,1.12,1.29,1.79,2.69,2.26,1.92,"17,000","17,000","17,000","17,000","17,000", , , 
96,70960,용평리조트,"5,660/ -180","48,133,333/ 0",0,"2,107","2,097","1,814","1,294","1,274","2,216","1,318","1,407",304,335,246,-41,-70,354,-25,-20,143,170,102,-138,-176, , , ,"9,289","8,682","8,128","8,499","9,119", , , ,"5,325","4,600","3,986","4,542","5,341", , , ,"3,964","4,082","4,142","3,958","3,778", , , ,"3,964","4,082","4,142","3,958","3,778", , , ,"2,407","2,407","2,407","2,407","2,407", , , ,1.51,1.89,1.21,-1.66,-1.99, , , ,4.04,4.21,2.48,-3.41,-4.54,4.9, , ,324,352,212,-287,-365,384,-237,-233,26.5,29.67,28.77,N/A,N/A,14.73,N/A,N/A,1.04,1.23,0.71,0.73,0.54, , , ,"48,133","48,133","48,133","48,133","48,133", , , 
97,101530,해태제과식품,"9,400/ -150","29,116,822/ 0","661,338","7,928","7,604","7,254","5,393","5,639", , , ,352,189,230,278,339, , , ,255,75,24,-347,275, , , ,"7,963","8,209","7,950","7,569","6,212", , , ,"5,016","5,313","5,074","5,127","3,575", , , ,"2,947","2,895","2,875","2,441","2,637", , , ,"2,865","2,882","2,863","2,434","2,629", , , ,146,146,146,146,146, , , ,3.3,0.92,0.3,-4.47,3.99, , , ,11.11,2.59,0.85,-13.11,10.84, , , ,928,256,84,"-1,192",943, , , ,19.35,60.36,111.23,N/A,8.75, , , ,1.59,1.36,0.82,0.73,0.79, , , ,"29,117","29,117","29,117","29,117","29,117", , , 
98,4440,삼일씨엔에스,"12,450/ -400","12,731,947/ 0","499,543","2,841","2,209","2,056","1,955","1,861", , , ,557,129,37,36,-3, , , ,375,44,-74,27,-10, , , ,"3,789","3,613","3,389","3,372","3,264", , , ,902,758,624,584,490, , , ,"2,887","2,855","2,765","2,788","2,774", , , ,"2,887","2,855","2,765","2,788","2,774", , , ,127,127,127,127,127, , , ,10.46,1.19,-2.1,0.79,-0.31, , , ,15.38,1.53,-2.62,0.97,-0.37, , , ,"3,052",346,-578,211,-81, , , ,6.46,36.75,N/A,36.16,N/A, , , ,0.87,0.57,0.48,0.35,0.43, , , ,"12,732","12,732","12,732","12,732","12,732", , , 
99,194370,제이에스코퍼레이션,"21,400/ +100","13,335,601/ 0","50,790","1,885","2,363","2,056","2,531","4,028","9,950","10,898","11,560",124,152,45,111,79,536,630,720,105,58,59,82,23,370,470,540,"1,988","1,905","1,895","2,016","5,044","5,230","5,590","5,920",434,340,342,447,"3,537","3,410","3,360","3,220","1,554","1,564","1,553","1,569","1,507","1,820","2,230","2,700","1,552","1,563","1,551","1,568","1,506","1,820","2,220","2,700",13,13,13,13,13,10,10,10,5.88,2.96,3.09,4.2,0.66,7.2,8.69,9.38,8.31,3.71,3.76,5.26,1.54,22.07,23.17,21.95,796,434,439,615,177,"2,752","3,509","4,049",20.73,29.51,25.05,20.39,42.45,7.78,6.1,5.28,1.36,1.04,0.89,1,0.62,1.47,1.22,1.01,"13,157","13,336","13,336","13,336","13,336", , , 
100,226320,잇츠한불,"24,900/ +0","21,929,315/ 0",0,"3,261","2,457","2,141","2,026","1,464", , , ,909,454,199,130,38, , , ,667,420,186,74,-35, , , ,"5,394","5,624","5,356","5,394","5,081", , , ,"1,312",931,608,637,398, , , ,"4,081","4,693","4,747","4,757","4,683", , , ,"2,157","4,373","4,349","4,120","3,962", , , ,46,110,110,110,110, , , ,14.38,7.63,3.38,1.38,-0.67, , , ,13.34,8.42,1.89,-1.11,-3.52, , , ,"2,033","1,345",376,-215,-648, , , ,21.15,33.76,71.46,N/A,N/A, , , ,3.48,2.28,1.35,1.03,1.44, , , ,"17,471","21,929","21,929","21,929","21,929", , , 
101,75580,세진중공업,"6,510/ -130","56,849,456/ 0","207,447","4,274","2,518","2,182","2,959","2,856","3,020","3,614","4,306",197,71,84,94,12,244,290,405,197,19,18,31,33,420,185,275,"3,659","3,490","3,683","4,086","4,481","4,890","5,030","5,265","2,075","1,920","2,099","2,463","2,870","2,940","2,985","3,030","1,584","1,570","1,584","1,623","1,612","1,950","2,045","2,235","1,584","1,570","1,554","1,572","1,546","1,885","1,985","2,170",220,220,220,220,312,310,310,310,4.44,0.52,0.49,0.8,0.77,8.96,3.73,5.34,9.3,1.18,1.13,1.51,1.19,24.57,9.46,12.97,249,33,31,42,33,741,322,474,8.46,57.95,84.3,74.33,205.36,8.78,20.22,13.73,0.76,0.69,0.96,1.12,2.4,1.93,1.83,1.68,"56,775","56,849","56,849","56,849","56,849", , , 
102,214330,금호에이치티,"2,330/ -30","125,257,661/ 0",825,"2,086","1,797","2,093","2,511","2,196", , , ,143,89,105,41,-47, , , ,84,49,78,-1,-98, , , ,"1,566","1,502","2,384","3,221","3,443", , , ,703,594,"1,135","1,494","1,212", , , ,863,908,"1,249","1,726","2,231", , , ,863,908,"1,249","1,726","2,212", , , ,49,49,79,118,590, , , ,5.96,3.22,4.01,-0.03,-2.95, , , ,11.31,5.57,7.23,-0.05,-4.85, , , ,322,168,256,-1,-87, , , ,6.56,9.74,9.18,N/A,N/A, , , ,0.72,0.53,0.89,0.87,1.41, , , ,"29,295","29,295","47,493","76,640","117,905", , , 
103,89590,제주항공,"23,400/ +100","38,499,615/ 0","2,348,876","7,476","9,964","12,594","13,840","3,770","2,933","9,162","14,403",584,"1,013","1,012",-329,"-3,358","-2,757",-11,"1,917",530,778,709,-331,"-3,065","-2,392",-234,"1,209","6,003","8,004","10,316","14,675","11,686","11,247","13,590","15,830","3,284","4,690","6,492","11,424","9,518","10,695","13,180","14,201","2,719","3,314","3,824","3,251","2,168",552,410,"1,631","2,719","3,314","3,824","3,251","2,168",426,393,"1,653","1,315","1,318","1,318","1,318","1,925","2,155","2,155","2,155",9.83,11.11,7.74,-2.65,-23.25,-20.86,-1.88,8.22,21.03,25.79,19.86,-9.36,-113.11,-184.34,-58.08,112.64,"1,949","2,825","2,571","-1,201","-9,727","-6,211",-618,"2,994",11.74,11.41,11.9,N/A,N/A,N/A,N/A,7.82,2.31,2.64,2.19,2.06,3.22,20.02,21.59,5.37,"27,499","27,564","27,564","27,564","38,500", , , 
104,227840,현대코퍼레이션홀딩스,"16,250/ +550","9,100,836/ 0",0,"1,536","1,452","1,654","1,839","1,516","1,505","1,559","1,620",94,87,79,93,101,130,152,160,64,120,37,97,176,200,220,220,"2,103","1,985","1,888","2,414","2,169","2,310","2,490","2,670",229,202,205,619,400,390,390,390,"1,874","1,784","1,683","1,795","1,769","1,920","2,100","2,280","1,874","1,781","1,676","1,793","1,758","1,910","2,080","2,260",455,455,455,455,455,460,460,460,3.07,5.88,1.93,4.51,7.69,8.93,9.17,8.53,3.38,6.62,2.58,5.93,9.98,10.63,10.78,10.14,705,"1,330",490,"1,129","1,947","2,143","2,362","2,417",23.32,10.98,32.64,10.58,5.78,7.58,6.88,6.72,0.8,0.73,0.84,0.59,0.55,0.74,0.68,0.63,"9,101","9,101","9,101","9,101","9,101", , , 
105,79550,LIG넥스원,"43,200/ +50","22,000,000/ 0","867,336","18,608","17,613","14,775","14,527","16,003","17,874","20,051","22,809",876,43,241,181,637,799,"1,117","1,442",771,-86,45,32,579,662,844,"1,057","17,915","20,068","23,221","23,175","25,956","27,380","29,000","31,007","11,598","14,028","16,720","16,835","19,231","20,207","21,194","22,548","6,316","6,040","6,501","6,340","6,725","7,173","7,806","8,458","6,316","6,040","6,501","6,340","6,725","7,142","7,717","8,458","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100",4.35,-0.45,0.21,0.14,2.36,2.48,2.99,3.52,12.75,-1.4,0.71,0.5,8.86,9.18,10.4,11.71,"3,502",-392,203,145,"2,631","2,892","3,514","4,303",22.98,N/A,182.34,218.25,11.59,14.94,12.29,10.04,2.8,2.18,1.25,1.1,0.99,1.32,1.22,1.11,"22,000","22,000","22,000","22,000","22,000", , , 
106,39570,HDC아이콘트롤스,"13,150/ -600","16,460,000/ 0","890,879","1,889","2,640","2,720","2,524","2,604","2,584","2,665","2,846",132,148,147,130,153,145,153,170,189,238,242,-59,157,135,148,166,"2,400","2,759","2,900","2,372","2,180","2,386","2,469","2,635",642,792,824,686,541,697,712,798,"1,758","1,968","2,076","1,686","1,639","1,690","1,757","1,838","1,758","1,968","2,076","1,686","1,639","1,690","1,757","1,838",41,82,82,82,82,81,81,81,8.23,9.21,8.57,-2.24,6.88,5.91,6.08,6.5,11.25,12.75,11.99,-3.13,9.42,8.99,8.56,9.24,"1,146","1,443","1,473",-358,952,909,896,"1,009",13.11,10.11,6.46,N/A,11.03,14.46,14.67,13.04,1.41,1.22,0.75,1.06,0.99,1.21,1.16,1.12,"16,460","16,460","16,460","16,460","16,460", , , 
107,2690,동일제강,"4,035/ -185","15,000,000/ 0",0,947,"1,076","1,240","1,274","1,229", , , ,56,11,-3,10,-1, , , ,48,14,1,11,3, , , ,"1,468","1,502","1,502","1,470","1,486", , , ,158,189,193,165,188, , , ,"1,310","1,313","1,309","1,305","1,298", , , ,"1,310","1,313","1,309","1,305","1,298", , , ,75,75,75,75,75, , , ,3.26,0.92,0.09,0.75,0.21, , , ,3.66,1.05,0.1,0.85,0.23, , , ,317,91,9,74,20, , , ,11.89,35.72,353.9,33.37,120.5, , , ,0.43,0.37,0.37,0.29,0.28, , , ,"15,000","15,000","15,000","15,000","15,000", , , 
108,95570,AJ네트웍스,"6,070/ +20","46,822,295/ 0","1,026,260","12,539","8,439","10,455","10,003","10,171", , , ,619,224,-212,156,230, , , ,171,206,373,421,-33, , , ,"20,813","23,542","25,751","18,033","15,882", , , ,"16,538","19,071","20,833","14,559","13,002", , , ,"4,275","4,472","4,918","3,473","2,880", , , ,"2,800","2,888","2,871","3,185","2,851", , , ,468,468,468,468,468, , , ,0.9,0.93,1.51,1.92,-0.2, , , ,4.98,5.27,0.39,15.18,-1.3, , , ,288,320,24,982,-84, , , ,22.54,21.76,186.12,5.06,N/A, , , ,1.09,1.13,0.73,0.73,0.74, , , ,"46,822","46,822","46,822","46,822","46,822", , , 
109,214320,이노션,"61,500/ -500","20,000,000/ 0","2,700,000","10,516","11,387","12,392","12,743","12,211","12,997","14,056","14,929",994,967,"1,182","1,219","1,115","1,285","1,466","1,594",780,757,924,946,843,997,"1,130","1,222","16,751","16,265","17,409","20,755","20,440","21,859","22,983","24,083","9,968","9,409","9,991","12,945","12,600","13,464","13,894","14,291","6,783","6,856","7,418","7,810","7,840","8,395","9,088","9,792","6,546","6,723","7,275","7,637","7,693","8,137","8,689","9,236",100,100,100,100,100,100,100,100,5.02,4.58,5.49,4.96,4.09,4.72,5.04,5.19,10.38,9.27,10.98,9.88,8.28,9.86,10.53,10.72,"3,267","3,074","3,842","3,681","3,174","3,903","4,430","4,805",17.48,23.81,16.47,19.26,18.78,15.76,13.88,12.8,1.74,2.18,1.74,1.86,1.55,1.51,1.42,1.33,"20,000","20,000","20,000","20,000","20,000", , , 
110,214420,토니모리,"7,940/ -100","18,383,721/ 0","109,589","2,331","2,057","1,810","1,720","1,135", , , ,176,-19,-50,-3,-255, , , ,129,-55,-78,-57,-396, , , ,"1,819","1,997","2,042","2,409","1,942", , , ,548,855,987,"1,423","1,257", , , ,"1,271","1,142","1,055",986,685, , , ,"1,271","1,142","1,052",988,627, , , ,35,35,35,35,35, , , ,7.65,-2.89,-3.86,-2.56,-18.21, , , ,10.57,-4.56,-6.89,-5.33,-46.89, , , ,731,-312,-428,-308,"-2,146", , , ,31.11,N/A,N/A,N/A,N/A, , , ,3.16,2.67,1.84,1.82,2.41, , , ,"17,640","17,640","17,640","17,640","17,640", , , 
111,85620,미래에셋생명,"4,260/ +5","177,016,189/ 21,126,760","6,978,685","22,868","22,844","20,677","18,589","17,906", , , ,"1,168",640,"1,424","1,407","1,153", , , ,780,"2,211","1,066","1,095",798, , , ,"286,441","355,208","346,405","380,155","406,290", , , ,"267,639","334,692","325,755","356,790","383,439", , , ,"18,802","20,516","20,650","23,365","22,851", , , ,"18,802","20,516","20,650","23,365","22,851", , , ,"8,315","8,315","9,907","9,907","9,907", , , ,0.28,0.69,0.3,0.3,0.2, , , ,4.17,11.25,5.18,4.98,3.45, , , ,459,"1,330",553,553,403, , , ,11.21,3.95,8.34,7.48,9.56, , , ,0.45,0.42,0.43,0.34,0.33, , , ,"145,180","145,180","177,016","177,016","177,016", , , 
112,214390,경보제약,"13,950/ +350","23,906,860/ 0","17,000","1,867","1,917","2,013","1,917","2,153", , , ,156,246,173,62,87, , , ,127,180,131,53,94, , , ,"2,037","2,049","2,216","2,378","2,532", , , ,743,634,726,887,972, , , ,"1,294","1,415","1,490","1,492","1,561", , , ,"1,294","1,415","1,490","1,492","1,561", , , ,120,120,120,120,120, , , ,6.37,8.79,6.15,2.3,3.83, , , ,10.08,13.26,9.03,3.55,6.16, , , ,531,751,549,221,393, , , ,26.25,16.7,18.68,37.36,41.56, , , ,2.58,2.12,1.64,1.32,2.5, , , ,"23,907","23,907","23,907","23,907","23,907", , , 
113,210980,SK디앤디,"38,300/ -200","20,190,164/ 4,000,000","470,608","2,764","3,308","5,628","4,547","6,998","6,424","6,914","7,748",404,237,851,823,"1,398",709,945,"1,105",263,650,524,449,661,502,675,764,"10,214","9,413","14,901","13,969","17,124","20,942","23,811","26,680","7,359","6,827","11,423","10,355","11,810","15,321","17,681","19,957","2,855","2,586","3,478","3,614","5,315","5,622","6,132","6,723","2,108","2,586","3,478","3,614","5,244","5,558","6,095","6,728",108,162,190,190,242,241,241,241,2.97,6.62,4.31,3.11,4.25,2.63,3.02,3.03,13.99,23.14,17.29,12.66,14.88,9.43,12.08,12.51,"1,686","3,362","3,237","2,365","2,974","2,106","2,909","3,315",17.47,10.01,8.27,12.31,14.51,18.19,13.16,11.55,2.26,2.1,1.46,1.53,1.99,1.67,1.52,1.38,"16,155","16,155","18,990","18,990","18,990", , , 
114,138250,엔에스쇼핑,"13,500/ -350","33,696,000/ 0",700,"4,411","4,768","4,741","4,980","5,391","5,713","6,000","6,211",790,800,612,287,294,82,135,182,503,552,346,-75,64,-20,33,66,"8,087","7,686","8,140","9,208","11,512","11,573","11,700","11,869","4,301","3,517","3,728","4,943","7,319","7,450","7,593","7,746","3,786","4,169","4,412","4,265","4,193","4,123","4,107","4,123","3,786","4,169","4,412","4,249","4,177","4,107","4,091","4,107",168,168,168,168,168,168,168,168,7.99,7,4.37,-0.87,0.62,-0.17,0.28,0.56,14.12,13.88,8.06,-1.76,1.53,-0.48,0.83,1.61,"1,493","1,638","1,026",-226,192,-59,101,196,10.28,9.95,12.48,N/A,63.16,N/A,133.8,68.92,1.37,1.29,0.96,0.73,0.95,1.08,1.09,1.08,"33,696","33,696","33,696","33,696","33,696", , , 
115,145210,다이나믹디자인,727/ +0,"157,607,815/ 0","800,000","2,043","1,653","1,208",994,768, , , ,55,-42,-270,-105,-98, , , ,-186,-337,-440,-55,-384, , , ,"2,924","2,424","1,721","1,610","1,512", , , ,"1,857","1,742","1,440","1,395",870, , , ,"1,067",683,281,215,642, , , ,"1,058",673,272,211,640, , , ,59,140,147,147,758, , , ,-6.07,-12.62,-21.21,-3.33,-24.63, , , ,-15.94,-39.04,-93.07,-22.79,-90.21, , , ,-620,"-1,121","-1,401",-174,-429, , , ,N/A,N/A,N/A,N/A,N/A, , , ,0.45,0.51,1.88,2.36,1.29, , , ,"30,153","30,153","31,606","31,606","151,569", , , 
116,213500,한솔제지,"17,500/ +1,150","23,800,576/ 2,040","1,329,855","15,305","16,014","19,766","16,791","15,099","16,730","17,400","17,900","1,221",637,"1,207",960,946,990,"1,230","1,320",426,420,408,400,593,610,760,830,"14,131","17,410","17,927","17,433","17,396","18,010","17,120","17,550","9,661","11,966","12,052","11,312","11,048","11,170","9,510","9,110","4,470","5,444","5,875","6,121","6,348","6,840","7,610","8,440","4,313","5,231","5,663","5,906","6,348","6,840","7,610","8,440","1,007","1,190","1,190","1,190","1,190","1,190","1,190","1,190",2.98,2.66,2.31,2.26,3.4,3.45,4.33,4.79,11.14,8.81,7.49,6.92,9.67,9.25,10.52,10.34,"2,337","1,812","1,715","1,681","2,490","2,563","3,193","3,487",8.43,7.72,9.68,8.59,5.56,6.83,5.48,5.02,0.92,0.64,0.7,0.58,0.52,0.61,0.55,0.49,"20,137","23,801","23,801","23,801","23,801", , , 
117,210540,디와이파워,"16,100/ -350","11,041,708/ 0","5,857","2,291","3,245","3,857","3,435","3,048","3,569","3,927","4,242",140,336,358,259,355,433,484,564,96,305,255,191,254,321,358,417,"2,282","2,551","2,585","2,626","2,878","3,072","3,457","3,879","1,277","1,270","1,084",956,988,887,943,976,"1,005","1,281","1,502","1,670","1,891","2,185","2,514","2,903","1,005","1,281","1,502","1,670","1,891","2,185","2,514","2,903",55,55,55,55,55,55,55,55,4.26,12.64,9.93,7.32,9.23,10.79,10.97,11.37,9.95,26.71,18.33,12.03,14.27,15.75,15.24,15.4,870,"2,765","2,310","1,728","2,301","2,907","3,242","3,777",10.67,6.87,6.15,5.84,5.17,5.54,4.97,4.26,1.02,1.64,1.04,0.67,0.69,0.81,0.71,0.61,"11,042","11,042","11,042","11,042","11,042", , , 
