,idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
43,43,099320,쎄트렉아이 *,"54,900/ -600","9,085,607/ 0","16,000",342,428,461,702,892, , , ,32,54,56,92,137, , , ,32,54,51,74,119, , , ,692,706,777,963,"1,075", , , ,188,158,192,318,337, , , ,504,548,585,645,738, , , ,504,548,580,638,731, , , ,18,18,18,36,36, , , ,4.95,7.72,6.83,8.46,11.64, , , ,6.63,10.76,8.23,11.74,17.32, , , ,449,779,639,984,"1,631", , , ,40.70,26.94,19.52,19.77,19.62, , , ,2.61,2.74,1.52,2.15,3.06, , , ,"7,268","7,268","7,268","7,268","7,268", , , 
44,44,064480,브리지텍 *,"4,965/ -185","11,952,500/ 0","5,123",552,302,465,356,443, , , ,82,-47,7,-39,17, , , ,79,-36,21,-32,9, , , ,626,519,561,423,426, , , ,135,88,167,94,89, , , ,491,431,394,329,336, , , ,491,431,394,329,336, , , ,62,62,62,62,62, , , ,12.74,-6.35,3.82,-6.45,2.04, , , ,17.21,-7.89,5.01,-8.77,2.60, , , ,664,-304,173,-266,72, , , ,10.44,N/A,17.16,N/A,51.80, , , ,1.69,1.67,0.90,1.11,1.30, , , ,"11,953","11,953","11,953","11,953","11,953", , , 
45,45,098460,고영 *,"25,300/ -300","68,654,755/ 0","4,836,163","1,718","2,034","2,382","2,221","1,795","2,541","2,879","3,279",332,437,460,333,158,443,551,631,297,267,423,296,92,406,477,542,"1,951","2,052","2,791","3,055","3,026","3,435","3,773","4,267",379,439,532,618,565,639,676,716,"1,573","1,613","2,259","2,437","2,461","2,796","3,097","3,551","1,569","1,613","2,259","2,437","2,461","2,796","3,097","3,551",68,68,68,69,69,70,70,70,16.79,13.36,17.47,10.11,3.01,12.57,13.23,13.48,20.61,16.76,21.86,12.59,3.74,15.46,16.18,16.31,435,390,618,432,133,592,694,789,20.80,42.32,26.69,48.87,157.37,42.75,36.44,32.05,3.67,5.96,4.77,5.61,5.54,5.91,5.36,4.70,"68,345","68,430","68,440","68,590","68,655", , , 
46,46,067000,조이시티 *,"11,700/ +100","45,254,897/ 0","3,232,000",725,922,872,"1,031","1,654","2,372","3,252","3,708",31,-27,-54,85,205,314,536,645,-53,-115,-79,-19,117,277,478,524,588,506,552,649,"1,113","1,376","1,903","2,453",135,167,287,399,334,319,365,386,453,339,265,250,778,"1,057","1,538","2,067",453,339,266,258,781,"1,050","1,530","2,025",59,59,59,59,77,168,168,168,-7.87,-20.99,-15.01,-3.16,13.28,22.23,29.13,24.07,-9.40,-29.01,-25.69,-4.91,21.79,30.34,37.14,29.74,-157,-337,-228,-38,272,617,"1,059","1,168",N/A,N/A,N/A,N/A,40.44,18.95,11.05,10.02,3.45,2.75,2.36,1.88,4.74,4.08,2.98,2.33,"34,040","34,040","34,040","34,040","44,435", , , 
47,47,018620,우진비앤지 *,"2,620/ -30","28,889,293/ 0","6,653",278,264,306,326,395, , , ,1,-34,-48,20,7, , , ,2,-42,-66,-136,-9, , , ,581,606,600,851,776, , , ,360,376,335,464,356, , , ,221,230,265,387,420, , , ,221,230,265,273,298, , , ,54,60,81,130,138, , , ,0.35,-7.06,-10.99,-18.67,-1.10, , , ,0.80,-18.55,-26.77,-47.55,-7.23, , , ,12,-260,-353,-512,-75, , , ,471.76,N/A,N/A,N/A,N/A, , , ,3.74,2.74,1.33,2.33,2.66, , , ,"15,141","16,121","19,012","25,967","27,593", , , 
48,48,095610,테스 *,"31,500/ -750","19,768,226/ 0","20,000","1,789","2,758","2,871","1,784","2,460","3,785","4,034","3,674",364,633,578,117,317,726,822,694,313,543,424,97,300,595,656,540,"1,848","2,425","2,418","2,479","2,749","3,351","3,904","4,358",367,529,294,330,384,504,503,518,"1,482","1,896","2,124","2,149","2,365","2,847","3,401","3,840","1,481","1,896","2,124","2,149","2,365","2,849","3,402","3,840",97,99,99,99,99,100,100,100,20.46,25.40,17.52,3.98,11.48,19.50,18.09,13.06,25.85,32.17,21.09,4.56,13.30,22.80,20.98,14.90,"1,754","2,772","2,145",493,"1,519","3,007","3,316","2,729",15.28,13.78,5.66,50.68,19.53,10.48,9.50,11.54,3.51,3.77,1.04,2.13,2.25,2.02,1.71,1.53,"19,406","19,768","19,768","19,768","19,768", , , 
49,49,053280,예스24 *,"13,150/ -650","25,000,000/ 0",0,"4,210","4,568","5,064","4,987","6,156","9,034","9,600","10,534",12,-9,-18,66,88,140,165,212,7,-3,-54,-2,-1,97,120,171,"1,872","2,023","2,044","2,399","3,608","4,420","4,654","5,033","1,122","1,261","1,366","1,755","1,954","2,703","2,851","3,094",751,762,678,644,"1,654","1,717","1,803","1,939",738,751,671,639,"1,655","1,717","1,803","1,939",86,86,86,86,86,86,86,86,0.38,-0.14,-2.67,-0.08,-0.05,2.42,2.64,3.53,0.86,-0.10,-7.38,0.01,0.12,5.75,6.82,9.09,26,-3,-210,0,6,388,480,680,157.06,N/A,N/A,"24,403.42","1,779.92",33.89,27.40,19.34,1.38,1.26,1.23,2.01,1.54,1.91,1.82,1.70,"25,000","25,000","25,000","25,000","25,000", , , 
50,50,096870,엘디티 *,"6,000/ -300","6,678,400/ 0",0,76,93,72,70,121, , , ,-14,-10,3,-13,16, , , ,-24,-38,4,-14,13, , , ,172,117,121,118,139, , , ,26,8,8,19,27, , , ,146,109,113,99,112, , , ,146,109,113,99,112, , , ,33,33,33,33,33, , , ,-12.76,-26.05,3.60,-11.71,10.48, , , ,-15.15,-29.57,3.86,-13.22,12.78, , , ,-359,-564,64,-209,202, , , ,N/A,N/A,41.25,N/A,16.17, , , ,1.53,2.10,1.56,1.90,1.94, , , ,"6,678","6,678","6,678","6,678","6,678", , , 
51,51,059210,메타바이오메드 *,"3,040/ -90","23,862,351/ 0","17,957",658,653,526,594,472, , , ,40,23,-2,58,20, , , ,7,-40,-11,36,-41, , , ,"1,201","1,197",977,"1,033","1,079", , , ,672,724,464,484,583, , , ,528,473,513,549,495, , , ,516,460,500,533,480, , , ,109,109,119,119,119, , , ,0.64,-3.31,-1.02,3.56,-3.87, , , ,1.25,-8.41,-2.39,6.48,-8.09, , , ,29,-188,-49,140,-172, , , ,164.46,N/A,N/A,19.86,N/A, , , ,1.99,1.61,1.35,1.20,1.32, , , ,"21,874","21,874","23,862","23,862","23,862", , , 
52,52,097870,효성오앤비 *,"11,850/ -600","8,490,000/ 0",0,404,344,302,284,293, , , ,64,61,40,15,20, , , ,51,53,39,18,15, , , ,712,651,653,702,723, , , ,115,55,53,66,103, , , ,597,596,600,636,620, , , ,597,596,600,618,603, , , ,29,29,42,42,42, , , ,7.15,7.75,5.95,2.67,2.08, , , ,8.75,8.86,6.49,3.01,2.61, , , ,597,622,457,216,188, , , ,16.12,13.55,31.72,40.76,34.07, , , ,1.37,1.12,1.88,1.11,0.79, , , ,"8,490","8,490","8,490","8,490","8,490", , , 
53,53,087730,이엠네트웍스 *,"8,160/ +0","3,256,190/ 0","218,579",183,163,133,130,178, , , ,-20,-15,-36,-87,-88, , , ,-7,-21,-77,-917,-178, , , ,224,197,762,588,370, , , ,81,72,477,514,430, , , ,143,125,285,74,-61, , , ,143,125,285,51,-61, , , ,14,14,18,49,49, , , ,-2.93,-10.04,-16.17,-135.83,-37.07, , , ,-4.59,-15.77,-37.83,-539.27,완전잠식, , , ,-707,"-2,214","-7,240","-48,477","-5,452", , , ,N/A,N/A,N/A,N/A,N/A, , , ,1.89,2.64,6.98,18.26,N/A, , , ,953,953,"1,172","3,252","3,256", , , 
54,54,091440,텔레필드 *,"4,020/ -90","9,175,875/ 0",0,431,374,302,565,400, , , ,-17,9,-109,57,-58, , , ,-26,6,-128,49,-69, , , ,552,548,494,582,624, , , ,303,293,271,310,417, , , ,249,256,223,272,207, , , ,245,250,223,270,206, , , ,35,35,45,45,46, , , ,-5.06,1.16,-24.54,9.08,-11.40, , , ,-10.21,2.11,-52.20,19.28,-28.63, , , ,-379,75,"-1,357",522,-743, , , ,N/A,39.43,N/A,6.53,N/A, , , ,1.18,0.80,1.05,1.11,1.36, , , ,"6,957","6,957","9,097","9,097","9,176", , , 
55,55,096040,이트론 *,703/ +26,"524,598,748/ 0",0,242,156,85,290,413, , , ,-23,2,-44,-23,5, , , ,-98,-19,-62,-32,-91, , , ,579,531,470,"1,049","1,119", , , ,74,44,24,395,398, , , ,505,487,446,654,720, , , ,505,487,446,654,720, , , ,363,363,480,699,949, , , ,-18.98,-3.36,-12.45,-4.16,-8.44, , , ,-23.27,-3.76,-13.36,-5.74,-13.31, , , ,-83,-10,-29,-11,-19, , , ,N/A,N/A,N/A,N/A,N/A, , , ,2.02,1.09,0.98,1.41,1.84, , , ,"181,356","181,356","239,950","349,599","474,599", , , 
56,56,097780,에스맥 *,"1,330/ -25","283,260,138/ 0","3,750,000","1,395","1,682","1,414","1,680","2,201", , , ,-34,113,122,107,167, , , ,-40,78,85,-139,263, , , ,"1,832","1,977","3,417","3,498","4,422", , , ,824,607,"1,050","1,138",864, , , ,"1,008","1,371","2,367","2,360","3,558", , , ,"1,008","1,371","2,254","2,212","2,895", , , ,122,299,442,466,522, , , ,-2.49,4.12,3.14,-4.03,6.64, , , ,-4.50,6.59,4.01,-6.43,12.75, , , ,-39,56,34,-64,125, , , ,N/A,21.00,29.14,N/A,14.40, , , ,1.53,1.27,0.99,1.37,1.59, , , ,"120,782","149,576","220,938","232,930","261,146", , , 
57,57,096630,에스코넥 *,"2,350/ +15","66,167,999/ 0",0,"3,346","3,656","3,671","2,545","1,852", , , ,176,194,180,-147,-276, , , ,110,141,147,-122,-426, , , ,"1,783","1,690","1,771","1,621","1,644", , , ,"1,002",821,756,707,"1,126", , , ,781,870,"1,015",914,518, , , ,771,858,"1,000",903,470, , , ,131,131,131,131,131, , , ,6.55,8.11,8.52,-7.21,-26.12, , , ,14.73,17.11,15.47,-12.80,-59.88, , , ,162,214,220,-187,-630, , , ,14.99,10.12,7.45,N/A,N/A, , , ,1.86,1.51,0.98,1.14,2.27, , , ,"65,266","65,266","65,266","65,266","65,266", , , 
58,58,068330,일신바이오 *,"6,360/ +10","44,216,140/ 0",0,134,128,154,196,210, , , ,30,23,30,52,56, , , ,27,18,27,47,40, , , ,377,385,395,456,495, , , ,47,36,46,61,52, , , ,329,349,349,395,444, , , ,330,352,357,402,444, , , ,44,44,44,44,44, , , ,8.00,4.75,6.96,11.15,8.34, , , ,9.40,6.17,8.91,12.26,9.39, , , ,61,48,71,105,90, , , ,47.81,48.74,24.90,20.05,87.97, , , ,3.90,2.91,2.05,2.18,7.43, , , ,"44,216","44,216","44,216","44,216","44,216", , , 
